Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
45156,2020-05-04T13:56:55+00:00,"Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, b…
https://t.co/GuWtqBOl2s https://t.co/qN9B0cFH5U",1257308227286347778,Diane Atkins Stone,0,0,0,0,Chicago,,65,134,1,consider pure joy brothers sisters whenever face trials many kinds b…,consider it pur joy my brother and sister whenever you fac trial of many kind b…,[]
45161,2020-05-04T13:56:09+00:00,"Lord Jesus, may we always be attentive to Your voice and may we actively seek Your will for our lives. Draw us near to You that we may find joy and peace in Your presence.",1257308033845088257,brcampmin,0,0,2,0,Oak Lawn,,156,189,1,lord jesus may always attentive voice may actively seek lives draw us near may find joy peace presence,lord jesu may we alway be attentiv to your voic and may we actively seek your will for our live draw us near to you that we may find joy and peac in your presenc,[]
45534,2020-05-04T13:16:30+00:00,"@shilkpatel vibing, bringing joy to those around him",1257298056879489031,kat,1,0,2,0,Chicago,,423,289,1,shilkpatel vibing bringing joy around,shilkpatel vib bring joy to thos around him,[]
48288,2020-05-04T03:14:05+00:00,@jillianickes actually me a month ago rewatching that whole game. jordan poole game winner and that 2018 title game run provided some joy as well. Never michigan football.,1257146450552774656,Danny Zorn,0,0,1,0,Chicago,,550,497,1,jillianickes actually month ago rewatching whole game jordan poole game winner 2018 title game run provided joy well never michigan football,jillianicke actually me a month ago rewatch that whol gam jordan pool gam winner and that 2018 titl gam run provided som joy as well never michigan football,[]
48644,2020-05-04T02:50:35+00:00,"I hope that one day you don’t have to pretend to be happy anymore. I hope you find your purpose and no longer feel like you’re alone, slowly drowning in the middle of the ocean. I hope that you find someone who brings light, joy, and life into your dark days.",1257140536303128576,NocturnalDispatch🌙🏳️‍🌈,0,0,8,1,Elmhurst,,331,977,1,hope one day ’ pretend happy anymore hope find purpose longer feel like ’ alone slowly drowning middle ocean hope find someone brings light joy life dark days,i hop that one day you don ’ t hav to pretend to be happy anymor i hop you find your purpos and no longer feel lik you ’ re alon slowly drown in the middl of the ocean i hop that you find someon who bring light joy and lif into your dark day,[]
48881,2020-05-04T02:35:16+00:00,"@fridahalo that’s completely within your right as a person who is alive , the purpose is joy!!!!",1257136684887691269,łem,0,0,0,0,Chicago,,822,518,1,fridahalo ’ completely within right person alive purpose joy,fridahalo that ’ s completely within your right as a person who is aliv the purpos is joy,[]
55799,2020-05-05T17:45:33+00:00,"@RenaeAdamski Fry Volleyball Team @ the joy of being #successful together. @harryefryschool 
Hooray for TEAM work! https://t.co/klBIUINWUi",1257728152920559616,HarryEFrySchool,0,1,4,0,Palos Heights,['successful'],264,79,1,renaeadamski fry volleyball team joy successful together harryefryschool hooray team work,renaeadamski fry volleyball team the joy of be successful together harryefryschool hooray for team work,[]
56865,2020-05-05T16:24:31+00:00,Cinco de Mayo and Taco Tuesday on the same day.....you have to find the joy in the small things these days. https://t.co/pSgEQVr8bV,1257707760294285313,UIC Coach Tim🔥,0,1,8,0,Elmhurst,,1013,2218,1,cinco de mayo taco tuesday find joy small things days,cinco de mayo and taco tuesday on the sam hav to find the joy in the small thing thes day,[]
58151,2020-05-05T14:42:18+00:00,Let’s share some joy today. Happy giving Tuesday. A movement to spread kindness. A day of giving. Plus Teachers Week. Nurses Week. There are so many ways to share a little love today. Flowers make everyone smile.… https://t.co/lv8Gn7fY4D,1257682033805086726,Debi Lilly,0,0,0,0,Chicago,,5063,4741,1,let ’ share joy today happy giving tuesday movement spread kindness day giving plus teachers week nurses week many ways share little love today flowers make everyone smile…,let ’ s shar som joy today happy giv tuesday a movement to spread kindnes a day of giv plu teacher week nurse week ther are so many way to shar a littl lov today flower mak everyon smile…,[]
58448,2020-05-05T14:16:32+00:00,One Day I’m Gonna Look In The Mirror And Cry Tears Of Joy Just Because I Did It,1257675552196038656,Apply Pressure💖‼️,0,0,0,0,Chicago,,383,387,1,one day ’ gon na look mirror cry tears joy,one day i ’ m gon na look in the mirror and cry tear of joy just becaus i did it,[]
