,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy
362695,2020-08-27T11:47:01+00:00,"Teachers bring joy, wisdom, and kindness to their classrooms. They shouldn't also have to bring essential supplies. Post your first project today at https://t.co/1k9wlQ716U and unlock the funding on @DonorsChoose 
Use this link to get 50$ !!!!! #teachertwitter #DonorsChoose",1298950141018361856,teachingwithmssuazo,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL","['teachertwitter', 'DonorsChoose']",39,37,1
362715,2020-08-27T11:41:07+00:00,It’s crazy how much joy this tape  brings in the morning going to work...I should call my cartel friends https://t.co/xtBczNOuEo,1298948657656537088,RECKLESS RELL,0,1,2,0,"[-87.940033, 41.644102]","Chicago, IL",0,225,1084,1
362925,2020-08-27T10:15:29+00:00,#throwbackthursday with alonsaur #chicago  #happy #summer #joy @ iO Chicago https://t.co/158IZCtM55,1298927107548930049,crystal,0,0,0,0,"[-87.6518333, 41.90845538]","Chicago, IL","['throwbackthursday', 'chicago', 'happy', 'summer', 'joy']",1326,4867,1
367292,2020-08-27T00:48:16+00:00,best of me is probably THAT song for me . i can feel my heart fill up with joy lol https://t.co/1y2wQn21vK,1298784359764418561,loser⁷,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",0,1379,1383,1
368482,2020-08-28T23:15:14+00:00,Happy 4th Birthday @MikloVelazquez !! You have been a blessing to us! Especially through these hectic times! Thank you for being such a loving companion. I hope we fill your days with joy and love like you do for us.… https://t.co/8qcXd5OZqC,1299485723943460864,This & That Crafts By Gaby,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",0,21,110,1
368552,2020-08-28T23:08:44+00:00,"Hear directly from Joy Villa.

#WalkAway #Chicago https://t.co/S0pyP7Mpbk",1299484086449434627,Vashon Jordan Jr.,1,1,3,0,"[-87.65556156635284, 41.94816011494788]",Wrigley Field,"['WalkAway', 'Chicago']",14096,777,1
368585,2020-08-28T23:05:42+00:00,"Joy Villa is here. 

#WalkAway #Chicago https://t.co/S5FHXnjJIt",1299483324671578114,Vashon Jordan Jr.,0,0,6,0,"[-87.65556156635284, 41.94816011494788]",Wrigley Field,"['WalkAway', 'Chicago']",14096,777,1
368612,2020-08-28T23:02:57+00:00,Happy 4th Birthday Miklo!! You have been a blessing to us! Especially through these hectic times! Thank you for being such a loving companion. I hope we fill your days with joy and love like you do for us. I love… https://t.co/veJvaP9rWL,1299482630673502208,Miklo The Standard Poodle,0,0,0,0,"[-87.632496, 41.883222]","Chicago, IL",0,32,114,1
369890,2020-08-28T21:10:37+00:00,"@jelliclejinx With the incredible joy you get from headpats, this makes perfect sense",1299454365103796226,T. Rex Eliot 💀,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,444,692,1
369980,2020-08-28T21:00:04+00:00,"The amount of poor decisions I make on the daily drastically outweigh the good.

And for some reason that brings me more joy than it should.",1299451706581889026,Yanna ☥,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",0,2754,302,1
