,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
89346,2021-11-10T23:15:21+00:00,"Today I, @ChiAlderwoman and the @RogersParkBA joined small business owners in cutting the ribbons to celebrate the reopening of 15 businesses in Rogers Park! As the son of a longtime Rogers Park salon owner, I took great joy in celebrating these diverse business owners… https://t.co/hP4j25IcKl",1458574026557767691,Senator Mike Simmons,1,1,11,0,"[-87.940033, 41.644102]","Chicago, IL",,833,244,1,0.94
92196,2021-11-10T18:07:42+00:00,When celebrities go on Sesame St. it's clear how much they are enjoying it.  Look how happy she is singing a version of her song with the Count and the joy when he laughs and lightning flashes. https://t.co/GrBUzAl8bb,1458496603174604802,Matt Hicks,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,333,1096,1,0.95
94389,2021-11-10T14:02:25+00:00,"“Darion D'Anjou One Minute Film School: Editing (Zoom)” with @dariondanjou, Skye Nakamura, @bySinclair, Joy Davis, and Movie Makers. Today, Nov 10 at 6:00 PM CST in @clubhouse! https://t.co/Li18oSX3j7",1458434875162234881,🟣Revolution MacInnes  (he/him),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,21970,23534,1,0.62
95908,2021-11-10T04:49:59+00:00,"We've needed any kind of joy we can take in the last couple of years, imo. Bring the decorations on. https://t.co/vWQohaLgwp",1458295852515143682,R. Lucretia,0,0,1,0,"[-87.805698, 41.8650062]","Oak Park, IL",,409,367,1,0.54
97865,2021-11-10T01:18:55+00:00,"Catching up on Movie Reviews.

LAST NIGHT IN SOHO - Official Trailer [HD] - Only in Theaters October 29 https://t.co/vE3EFHYVxx via @YouTube

A little disappointing but also hard to resist. Style wins over substance but the performances by Thomasin McKenzie and Anya Taylor Joy",1458242736876920839,Vinny At The Movies,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,768,5002,1,0.87
101752,2021-11-11T18:14:46+00:00,@Patrick_Reeeeed @andreadmw @oldrebeccarocks Guessing it will be mistrial WITH prejudice. KR walks smugly free much to the joy of people like that RWNJ  Ricky Schroeder,1458860769626492931,FotoPunkMMG,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,275,1283,1,0.76
101881,2021-11-11T18:03:02+00:00,"Will Smith shares his personal pain and joy during book tour in Chicago - Rolling Out https://t.co/HzkxUxUkgN 

#willsmithbook #nationalgeographics #natgeo",1458857816593248258,Precise 🇭🇹,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL","['willsmithbook', 'nationalgeographics', 'natgeo']",928,938,1,0.4
103619,2021-11-11T15:08:18+00:00,@ben_austen @KhalilGMuhammad It was a joy to be interviewed by y’all! ❤️✊🏽💯,1458813842960625680,Tonika Johnson,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,3475,1176,1,0.62
104084,2021-11-11T14:18:07+00:00,"Spent some time with Mom yesterday. Despite the progression of her Alzheimer’s, we can still find joy in outings such as a nice meal together. And ice cream. ##ENDALZ Thanks to the #caregivers for what you do! https://t.co/osdNrvxffE",1458801214573875203,S C H N I C K,0,0,1,0,"[-87.64662423491713, 41.925651562952545]",Belmont Village Senior Living Lincoln Park,"['ENDALZ', 'caregivers']",37,134,1,0.87
105408,2021-11-11T05:37:39+00:00,Everyday My Birthday debut at Joy District. Much Love and Thanks 🙏🏾 to @djmilehigh_ for spinning @joydistrictchi @ Joy District https://t.co/IR9x82b7dK,1458670236878753794,Lizzie G,0,0,0,0,"[-87.6318, 41.89026]","Chicago, IL",,1662,1554,1,0.94
105577,2021-11-11T05:06:08+00:00,"Whether he remains in the film industry or walks away, I will not love @iamsrk less.  He has given me a lifetime supply of joy, laughter, smiles, inspiration and emotional roller coasters.  I am forever grateful and feel indebted to #ShahRukhKhan  for it. https://t.co/rl0D8MtGXP",1458662303558156289,Jackie Tajiri,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",['ShahRukhKhan'],69,1200,1,0.93
107246,2021-11-11T02:22:17+00:00,"“joy” is the perfect word. it’s beautiful, @bdetrick @earlboykins 👌🏼🔥 https://t.co/ucrvbVshKQ",1458621071297556481,amanda simmons.,1,2,4,0,"[-87.940033, 41.644102]","Chicago, IL",,641,286,1,0.82
