,Char,Unicode,Neg,Neut,Pos,Sentiment score,Emot_Intensity
366,🇮,0x1f1ee,0.027,0.351,0.622,0.595,0.7975
367,🔋,0x1f50b,0.622,0.243,0.135,-0.486,0.743
368,🐍,0x1f40d,0.108,0.432,0.459,0.351,0.6755
369,♔,0x2654,0.027,0.405,0.568,0.541,0.7705
370,🍳,0x1f373,0.389,0.194,0.417,0.028,0.514
371,🔵,0x1f535,0.139,0.417,0.444,0.306,0.653
372,😾,0x1f63e,0.583,0.167,0.25,-0.333,0.6665
373,🌕,0x1f315,0.111,0.222,0.667,0.556,0.778
374,🐨,0x1f428,0.139,0.278,0.583,0.444,0.722
375,🔐,0x1f510,0.194,0.278,0.528,0.333,0.6665
376,💿,0x1f4bf,0.028,0.333,0.639,0.611,0.8055
377,❁,0x2741,0.028,0.889,0.083,0.056,0.528
378,🌳,0x1f333,0.086,0.343,0.571,0.486,0.743
379,👰,0x1f470,0.114,0.286,0.6,0.486,0.743
380,❀,0x2740,0.029,0.543,0.429,0.4,0.7
381,⚓,0x2693,0.086,0.257,0.657,0.571,0.7855
382,🚴,0x1f6b4,0.029,0.286,0.686,0.657,0.8285
383,▀,0x2580,0.314,0.514,0.171,-0.143,0.5715
384,👗,0x1f457,0.176,0.412,0.412,0.235,0.6174999999999999
385,➕,0x2795,0.147,0.176,0.676,0.529,0.7645
386,💬,0x1f4ac,0.152,0.333,0.515,0.364,0.6819999999999999
387,▒,0x2592,0.091,0.848,0.061,-0.03,0.515
388,🔜,0x1f51c,0.182,0.364,0.455,0.273,0.6365000000000001
389,🍨,0x1f368,0.273,0.242,0.485,0.212,0.606
390,💲,0x1f4b2,0.03,0.697,0.273,0.242,0.621
391,⛽,0x26fd,0.061,0.727,0.212,0.152,0.576
392,🍙,0x1f359,0.188,0.344,0.469,0.281,0.6405000000000001
393,🍗,0x1f357,0.313,0.313,0.375,0.063,0.5315
394,🍲,0x1f372,0.25,0.375,0.375,0.125,0.5625
395,🍥,0x1f365,0.719,0.156,0.125,-0.594,0.7969999999999999
396,▸,0x25b8,0.031,0.719,0.25,0.219,0.6095
397,♛,0x265b,0.156,0.5,0.344,0.188,0.594
