Unnamed: 0,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy,clean_tweet,clean_stems,emoji_meanings
329037,2020-03-21T18:20:05+00:00,"Today I choose to forget about all my fears and anxiety and instead focus on the love I have for my my niece Lily! And to celebrate her extra chromosome that has brought us so much joy 💙💛⁣
⁣
Today is World Down… https://t.co/AmPcClTX7M",1241429390086623234,Amb. Adrian Marcel Cazares,0,0,0,0,"Chicago, IL",,21,192,1,today choose forget fears anxiety instead focus love niece lily celebrate extra chromosome brought us much joy 💙💛⁣⁣today world down…,today i choos to forget about all my fear and anxiety and instead focu on the lov i hav for my my niec lily and to celebrat her extra chromosom that has brought us so much joy 💙💛⁣⁣today is world down…,"['blue_heart', 'yellow_heart']"
329756,2020-03-21T17:41:58+00:00,Don’t forget! If you’re stuck inside and would like to get some fun stuff in the mail... I am running a sale in my Etsy! Items will be shipped ASAP and hopefully they bring some joy to you or your loved ones while… https://t.co/x30uqYByBi,1241419796136280065,Lydia Jean Art ✨🖌,0,0,1,0,"Chicago, IL",,274,387,1,’ forget ’ stuck inside would like get fun stuff mail running sale etsy items shipped asap hopefully bring joy loved ones while…,don ’ t forget if you ’ re stuck insid and would lik to get som fun stuff in the mail i am runn a sal in my etsy item will be shipped asap and hopefully they br som joy to you or your loved one while…,[]
331150,2020-03-21T16:20:28+00:00,I find great joy in muting everyone who puts tik tok dance videos on Instagram,1241399285704425472,satantha,0,0,7,0,"Chicago, IL",,275,503,1,find great joy muting everyone puts tik tok dance videos instagram,i find great joy in mut everyon who put tik tok danc video on instagram,[]
332997,2020-03-21T14:25:46+00:00,"This brings my heart and spirit so much joy!  

https://t.co/wDgoC82enR",1241370420764426240,Manilan Houle,0,5,26,2,"Chicago, IL",,6246,5690,1,brings heart spirit much joy,thi bring my heart and spirit so much joy,[]
333953,2020-03-21T12:46:45+00:00,"The things that gave me joy this week:
Venmoing money to service industry friend and overtipping on pizza.",1241345501930422273,Dominic Lanzillotta,1,0,1,0,"Lower West Side, Chicago",,417,534,1,things gave joy weekvenmoing money service industry friend overtipping pizza,the thing that gav me joy thi weekvenmo money to servic industry friend and overtipp on pizza,[]
334599,2020-03-21T08:43:43+00:00,That same TikTok is still popping off and just hit 200k+ views and 29.k likes and it has gained me over 600 new followers. I had less than 200 followers on Monday 😂 now I have 800+ I appreciate these little things that bring me joy. Ima keep making TikToks esp in these times! 💜,1241284340333662208,What It Do DK ღ,1,0,2,0,"Chicago, IL",,692,711,1,tiktok still popping hit 200k views 29k likes gained 600 new followers less 200 followers monday 😂 800 appreciate little things bring joy ima keep making tiktoks esp times 💜,that sam tiktok is still popp off and just hit 200k view and 29k like and it has gained me over 600 new follower i had les than 200 follower on monday 😂 now i hav 800 i appreciat thes littl thing that br me joy ima keep mak tiktok esp in thes time 💜,"['face_with_tears_of_joy', 'purple_heart']"
337005,2020-03-21T03:26:14+00:00,"@BradNeums The joy this video brought me. 

I miss the energy in that room.",1241204444534104065,Dylan Eike,0,0,6,0,"Chicago, IL",,1279,939,1,bradneums joy video brought miss energy room,bradneum the joy thi video brought me i mis the energy in that room,[]
339545,2020-03-21T01:00:22+00:00,This band brings me so much joy https://t.co/FKmY3YWZxr,1241167736945983488,Michael David Smith,0,0,3,0,"Chicago, IL",,854,928,1,band brings much joy,thi band bring me so much joy,[]
340128,2020-03-21T00:26:33+00:00,"Look, in these uncertain times, we need to take joy where we can get it. In that respect, enjoy this blep from my precious Bobbie. https://t.co/zqRBAT20vM",1241159226191499265,"I'm Clint Worthington. jk, Dr. Michael Morbius at",0,0,16,0,"Chicago, IL",,3704,4152,1,look uncertain times need take joy get respect enjoy blep precious bobbie,look in thes uncertain time we need to tak joy wher we can get it in that respect enjoy thi blep from my preciou bobbi,[]
340515,2020-03-21T00:02:34+00:00,@HoarseWisperer @SpiroAgnewGhost That notion brings me great joy https://t.co/WjvgR1Jhu1,1241153188595728385,nicfus,0,0,1,0,"Evanston, IL",,170,1386,1,hoarsewisperer spiroagnewghost notion brings great joy,hoarsewisperer spiroagnewghost that notion bring me great joy,[]
341437,2020-03-22T23:08:36+00:00,"Because we all need a little more joy right now. I’m pretty sure J.B. Pritzker’s not too far behind these amazing mayors in Italy, losing their minds! #StayTheEffInside #BitOfJoy h/t @everywhereist https://t.co/dOgjPCFLmL",1241864383116062723,Andrew Ford,0,0,1,0,"Chicago, IL","['StayTheEffInside', 'BitOfJoy']",87,274,1,need little joy right ’ pretty sure jb pritzker ’ far behind amazing mayors italy losing minds staytheeffinside bitofjoy ht everywhereist,becaus we all need a littl mor joy right now i ’ m pretty sur jb pritzker ’ s not too far behind thes amaz mayor in italy los their mind staytheeffinsid bitofjoy ht everywhereist,[]
342222,2020-03-22T22:24:01+00:00,"Had I known I’d be staying 24/7 with a 3 year old, I definitely would not have @MarieKondo-d my belongings. Why didn’t a box of odds and ends of craft supplies bring me joy? Argh!",1241853165244383232,Elizabeth McBride,1,0,3,0,"Chicago, IL",,148,340,1,known ’ staying 247 3 year old definitely would mariekondod belongings ’ box odds ends craft supplies bring joy argh,had i known i ’ d be stay 247 with a 3 year old i definitely would not hav mariekondod my belonging why didn ’ t a box of odd and end of craft supplie br me joy argh,[]
342957,2020-03-22T21:42:59+00:00,Today’s moment of joy — a compilation of Italian mayors venting frustration at those not following shelter in place https://t.co/J5vZD53SwE,1241842838234697734,"Saif S. Rathore, MD PhD",1,5,21,2,"Chicago, IL",,965,419,1,today ’ moment joy — compilation italian mayors venting frustration following shelter place,today ’ s moment of joy — a compilation of italian mayor vent frustration at thos not follow shelter in plac,[]
343454,2020-03-22T21:11:37+00:00,"@Diablo_Siamese @jolenehunter You have three?! How much fun your house must be! My two Siamese, William and Lewis, both passed away a few years ago at 19.  They were the joy of my life. ❤️",1241834945619918848,Cherie,0,0,1,0,"Chicago, IL",,186,357,1,diablosiamese jolenehunter three much fun house must two siamese william lewis passed away years ago 19 joy life ❤️,diablosiames jolenehunter you hav thre how much fun your hous must be my two siames william and lewi both passed away a few year ago at 19 they wer the joy of my lif ❤️,['red_heart']
